Account_SKey,Account_ID,Customer_ID,Account_Type,Balance,Account_Open Date,Account_End Date,Status 
SA_0001,AC_0001,C_0550,Checking Account,180326.83,01-01-20,,Active
SA_0002,AC_0002,C_0338,Fixed Deposit,31273.66,01-01-20,,Active
SA_0003,AC_0003,C_1376,Checking Account,19359.04,01-01-20,,Active
SA_0004,AC_0004,C_0914,Certificate of Deposit,188492.82,01-01-20,16-04-21,Closed
SA_0005,AC_0005,C_0778,Hire Purchase,171867.08,01-01-20,,Active
SA_0006,AC_0006,C_0247,Debit Card,60307.56,01-01-20,,Active
SA_0007,AC_0007,C_0548,Debit Card,87050.11,01-01-20,,Active
SA_0008,AC_0008,C_0478,Saving Account,56695.35,01-01-20,,Active
SA_0009,AC_0009,C_0831,Checking Account,2693.895,01-01-20,,Active
SA_0010,AC_0010,C_0647,Debit Card,32886.84,01-01-20,,Active
SA_0011,AC_0011,C_0368,Mortgages,40096.68,01-01-20,,Active
SA_0012,AC_0012,C_0023,Mortgages,155688.795,01-01-20,,Active
SA_0013,AC_0013,C_0006,Credit Card,25195.87,02-01-20,,Active
SA_0014,AC_0014,C_0096,Fixed Deposit,67479.01,02-01-20,,Active
SA_0015,AC_0015,C_0001,Credit Card,1401.43,02-01-20,,Active
SA_0016,AC_0016,C_0002,Saving Account,44973.03,02-01-20,,Active
SA_0017,AC_0017,C_0003,Debit Card,29012.65,02-01-20,,Active
SA_0018,AC_0018,C_0609,Saving Account,41266.34,02-01-20,,Active
SA_0019,AC_0019,C_0741,Fixed Deposit,88890.05,02-01-20,,Active
SA_0020,AC_0020,C_0861,Credit Card,16390.05,02-01-20,,Active
SA_0021,AC_0021,C_1500,Debit Card,42284.085,02-01-20,,Active
SA_0022,AC_0022,C_1053,Credit Card,81966.48,02-01-20,,Active
SA_0023,AC_0023,C_0593,Certificate of Deposit,88691.64,02-01-20,,Active
SA_0024,AC_0024,C_0638,Fixed Deposit,22906.99,03-01-20,,Active
SA_0025,AC_0025,C_0004,Hire Purchase,15031.01,03-01-20,,Active
SA_0026,AC_0026,C_0005,Checking Account,4421.1,03-01-20,,Active
SA_0027,AC_0027,C_0424,Mortgages,39040.73,03-01-20,,Active
SA_0028,AC_0028,C_0442,Mortgages,15410.655,03-01-20,,Active
SA_0029,AC_0029,C_0317,Debit Card,32886.84,03-01-20,,Active
SA_0030,AC_0030,C_0494,Debit Card,52586.955,03-01-20,,Active
SA_0031,AC_0031,C_0018,Credit Card,29889.68,04-01-20,,Active
SA_0032,AC_0032,C_0812,Saving Account,65464.91,04-01-20,,Active
SA_0033,AC_0033,C_0467,Debit Card,1291.01,04-01-20,,Active
SA_0034,AC_0034,C_1305,Checking Account,109300.73,04-01-20,,Active
SA_0035,AC_0035,C_0211,Credit Card,12137.16,04-01-20,,Active
SA_0036,AC_0036,C_0006,Checking Account,6958.19,04-01-20,,Active
SA_0037,AC_0037,C_0007,Credit Card,45693.28,04-01-20,,Active
SA_0038,AC_0038,C_0972,Debit Card,59673.88,04-01-20,,Active
SA_0039,AC_0039,C_0571,Debit Card,18393.7,04-01-20,,Active
SA_0040,AC_0040,C_0836,Mortgages,49048.13,04-01-20,,Active
SA_0041,AC_0041,C_1295,Mortgages,4735.8,04-01-20,,Active
SA_0042,AC_0042,C_0120,Debit Card,27012,04-01-20,,Active
SA_0043,AC_0043,C_0562,Fixed Deposit,18190.48,04-01-20,,Active
SA_0044,AC_0044,C_0617,Fixed Deposit,2102.145,04-01-20,,Active
SA_0045,AC_0045,C_0583,Debit Card,68849.43,04-01-20,,Active
SA_0046,AC_0046,C_0173,Hire Purchase,118500.48,04-01-20,,Active
SA_0047,AC_0047,C_0810,Debit Card,168856.815,04-01-20,,Active
SA_0048,AC_0048,C_1450,Credit Card,81827.13,05-01-20,,Active
SA_0049,AC_0049,C_1090,Certificate of Deposit,76480.41,05-01-20,04-01-21,Closed
SA_0050,AC_0050,C_0968,Certificate of Deposit,21138.46,05-01-20,10-01-21,Closed
SA_0051,AC_0051,C_0186,Saving Account,15126.82,05-01-20,20-02-21,Closed
SA_0052,AC_0052,C_0440,Certificate of Deposit,23509.64,05-01-20,16-03-21,Closed
SA_0053,AC_0053,C_0008,Hire Purchase,30189.87,05-01-20,,Active
SA_0054,AC_0054,C_0009,Fixed Deposit,25132.97,05-01-20,,Active
SA_0055,AC_0055,C_0010,Mortgages,18829.79,05-01-20,,Active
SA_0056,AC_0056,C_1353,Certificate of Deposit,169665.79,05-01-20,,Active
SA_0057,AC_0057,C_0445,Saving Account,88279.66,05-01-20,,Active
SA_0058,AC_0058,C_0653,Hire Purchase,42879.84,05-01-20,,Active
SA_0059,AC_0059,C_0746,Checking Account,99190.79,05-01-20,,Active
SA_0060,AC_0060,C_0788,Saving Account,39515,05-01-20,,Active
SA_0061,AC_0061,C_1024,Credit Card,93917.68,05-01-20,,Active
SA_0062,AC_0062,C_0817,Certificate of Deposit,5575.2,05-01-20,,Active
SA_0063,AC_0063,C_0962,Mortgages,88740.885,05-01-20,,Active
SA_0064,AC_0064,C_0194,Fixed Deposit,90251.43,05-01-20,,Active
SA_0065,AC_0065,C_1355,Credit Card,106204.695,05-01-20,,Active
SA_0066,AC_0066,C_0115,Debit Card,71324.35,06-01-20,15-03-21,Closed
SA_0067,AC_0067,C_1211,Debit Card,27955.18,06-01-20,,Active
SA_0068,AC_0068,C_0011,Debit Card,77908.67,06-01-20,,Active
SA_0069,AC_0069,C_0012,Debit Card,9567.74,06-01-20,,Active
SA_0070,AC_0070,C_0013,Checking Account,4941.65,06-01-20,,Active
SA_0071,AC_0071,C_1312,Saving Account,50621.67,06-01-20,,Active
SA_0072,AC_0072,C_0307,Debit Card,12508.07,06-01-20,,Active
SA_0073,AC_0073,C_0861,Mortgages,42773.9,06-01-20,,Active
SA_0074,AC_0074,C_1198,Saving Account,15879.06,06-01-20,,Active
SA_0075,AC_0075,C_0568,Hire Purchase,16358.32,06-01-20,,Active
SA_0076,AC_0076,C_0874,Credit Card,57497.29,06-01-20,,Active
SA_0077,AC_0077,C_0573,Certificate of Deposit,26768.44,06-01-20,,Active
SA_0078,AC_0078,C_0790,Certificate of Deposit,1622.07,06-01-20,,Active
SA_0079,AC_0079,C_0488,Debit Card,5890.725,06-01-20,,Active
SA_0080,AC_0080,C_1259,Mortgages,47512.755,06-01-20,,Active
SA_0081,AC_0081,C_0770,Debit Card,65232.885,06-01-20,,Active
SA_0082,AC_0082,C_0261,Debit Card,79871.22,06-01-20,,Active
SA_0083,AC_0083,C_1383,Debit Card,96315.945,06-01-20,,Active
SA_0084,AC_0084,C_0957,Debit Card,171556.995,06-01-20,,Active
SA_0085,AC_0085,C_0525,Debit Card,56584.82,07-01-20,22-09-21,Closed
SA_0086,AC_0086,C_1003,Saving Account,12013.82,07-01-20,,Active
SA_0087,AC_0087,C_0479,Mortgages,121683.14,07-01-20,01-08-21,Closed
SA_0088,AC_0088,C_1043,Credit Card,1096.36,07-01-20,,Active
SA_0089,AC_0089,C_0238,Fixed Deposit,39264.03,07-01-20,10-10-21,Closed
SA_0090,AC_0090,C_0529,Credit Card,59183.23,07-01-20,,Active
SA_0091,AC_0091,C_0014,Debit Card,17322.36,07-01-20,,Active
SA_0092,AC_0092,C_0015,Debit Card,33934.22,07-01-20,,Active
SA_0093,AC_0093,C_0016,Fixed Deposit,21875.7,07-01-20,,Active
SA_0094,AC_0094,C_0017,Certificate of Deposit,41924.07,07-01-20,,Active
SA_0095,AC_0095,C_0982,Fixed Deposit,2799.27,07-01-20,,Active
SA_0096,AC_0096,C_0062,Hire Purchase,87960.01,07-01-20,,Active
SA_0097,AC_0097,C_0303,Certificate of Deposit,41924.07,07-01-20,,Active
SA_0098,AC_0098,C_0710,Hire Purchase,24064.3,07-01-20,,Active
SA_0099,AC_0099,C_0720,Certificate of Deposit,86073.84,07-01-20,,Active
SA_0100,AC_0100,C_1146,Saving Account,12293.64,07-01-20,,Active
SA_0101,AC_0101,C_0675,Debit Card,29462.775,07-01-20,,Active
SA_0102,AC_0102,C_1319,Mortgages,52614.09,07-01-20,,Active
SA_0103,AC_0103,C_0741,Hire Purchase,133335.075,07-01-20,,Active
SA_0104,AC_0104,C_0600,Checking Account,230406.66,07-01-20,,Active
SA_0105,AC_0105,C_0104,Credit Card,233274.525,07-01-20,,Active
SA_0106,AC_0106,C_0599,Fixed Deposit,1790.25,08-01-20,26-03-21,Closed
SA_0107,AC_0107,C_0532,Saving Account,29371.32,08-01-20,,Active
SA_0108,AC_0108,C_0786,Certificate of Deposit,65364.64,08-01-20,21-12-21,Closed
SA_0109,AC_0109,C_0644,Checking Account,9997.81,08-01-20,,Active
SA_0110,AC_0110,C_0018,Certificate of Deposit,39552.66,08-01-20,,Active
SA_0111,AC_0111,C_0019,Saving Account,53217.3,08-01-20,,Active
SA_0112,AC_0112,C_0020,Mortgages,20162.2,08-01-20,,Active
SA_0113,AC_0113,C_0917,Mortgages,7562.83,08-01-20,,Active
SA_0114,AC_0114,C_1010,Credit Card,83992.09,08-01-20,,Active
SA_0115,AC_0115,C_1159,Certificate of Deposit,65655.36,08-01-20,,Active
SA_0116,AC_0116,C_1239,Credit Card,54930.04,08-01-20,,Active
SA_0117,AC_0117,C_0808,Mortgages,18103.72,08-01-20,,Active
SA_0118,AC_0118,C_1388,Checking Account,40554.67,08-01-20,,Active
SA_0119,AC_0119,C_0057,Mortgages,7828.3,08-01-20,,Active
SA_0120,AC_0120,C_0808,Saving Account,27424.78,08-01-20,,Active
SA_0121,AC_0121,C_0326,Mortgages,6879.345,08-01-20,,Active
SA_0122,AC_0122,C_0209,Hire Purchase,72499.635,08-01-20,,Active
SA_0123,AC_0123,C_0814,Mortgages,114310.785,08-01-20,,Active
SA_0124,AC_0124,C_1037,Hire Purchase,296142.96,08-01-20,,Active
SA_0125,AC_0125,C_0570,Checking Account,35679.31,09-01-20,,Active
SA_0126,AC_0126,C_0633,Saving Account,39588.61,09-01-20,07-05-21,Closed
SA_0127,AC_0127,C_0632,Saving Account,193099.43,09-01-20,,Active
SA_0128,AC_0128,C_1434,Fixed Deposit,65949.77,09-01-20,,Active
SA_0129,AC_0129,C_0021,Checking Account,15861,09-01-20,,Active
SA_0130,AC_0130,C_0022,Credit Card,40303.71,09-01-20,,Active
SA_0131,AC_0131,C_0183,Debit Card,84898.38,09-01-20,,Active
SA_0132,AC_0132,C_0425,Credit Card,16103.61,09-01-20,,Active
SA_0133,AC_0133,C_1030,Mortgages,21827.12,09-01-20,,Active
SA_0134,AC_0134,C_0925,Fixed Deposit,76946.6,09-01-20,,Active
SA_0135,AC_0135,C_0748,Debit Card,49606.03,09-01-20,,Active
SA_0136,AC_0136,C_1445,Credit Card,40971.645,09-01-20,,Active
SA_0137,AC_0137,C_1185,Hire Purchase,59070.435,09-01-20,,Active
SA_0138,AC_0138,C_0537,Credit Card,98483.04,09-01-20,,Active
SA_0139,AC_0139,C_0731,Saving Account,254498.685,09-01-20,,Active
SA_0140,AC_0140,C_0126,Mortgages,55661.5,10-01-20,06-10-21,Closed
SA_0141,AC_0141,C_0899,Hire Purchase,27635.28,10-01-20,13-12-21,Closed
SA_0142,AC_0142,C_0809,Fixed Deposit,9644.68,10-01-20,,Active
SA_0143,AC_0143,C_0401,Hire Purchase,51459.45,10-01-20,,Active
SA_0144,AC_0144,C_1164,Fixed Deposit,59189.09,10-01-20,,Active
SA_0145,AC_0145,C_0023,Hire Purchase,46084.51,10-01-20,,Active
SA_0146,AC_0146,C_0024,Debit Card,96893.79,10-01-20,,Active
SA_0147,AC_0147,C_0996,Checking Account,354.04,10-01-20,,Active
SA_0148,AC_0148,C_0017,Checking Account,14958.96,10-01-20,,Active
SA_0149,AC_0149,C_0837,Mortgages,58230.615,10-01-20,,Active
SA_0150,AC_0150,C_0550,Credit Card,2872.93,11-01-20,,Active
SA_0151,AC_0151,C_0938,Saving Account,29715,11-01-20,,Active
SA_0152,AC_0152,C_0896,Debit Card,134767.13,11-01-20, ,Closed
SA_0153,AC_0153,C_1058,Saving Account,23025.61,11-01-20,16-07-21,Closed
SA_0154,AC_0154,C_0561,Certificate of Deposit,65904.54,11-01-20,14-10-21,Closed
SA_0155,AC_0155,C_0025,Debit Card,27726.59,11-01-20,,Active
SA_0156,AC_0156,C_0547,Mortgages,6866.31,11-01-20,,Active
SA_0157,AC_0157,C_0787,Hire Purchase,25963.125,11-01-20,,Active
SA_0158,AC_0158,C_0203,Saving Account,47512.755,11-01-20,,Active
SA_0159,AC_0159,C_0603,Fixed Deposit,41203.42,12-01-20, ,Closed
SA_0160,AC_0160,C_0010,Saving Account,42654.47,12-01-20, ,Closed
SA_0161,AC_0161,C_1074,Checking Account,51621.8,12-01-20, ,Closed
SA_0162,AC_0162,C_0795,Certificate of Deposit,18645.55,12-01-20,06-09-21,Closed
SA_0163,AC_0163,C_1485,Saving Account,13518.54,12-01-20,08-02-21,Closed
SA_0164,AC_0164,C_0026,Certificate of Deposit,10239.67,12-01-20,,Active
SA_0165,AC_0165,C_0027,Mortgages,88416.84,12-01-20,,Active
SA_0166,AC_0166,C_0411,Debit Card,29129.11,12-01-20,,Active
SA_0167,AC_0167,C_0858,Fixed Deposit,29046.07,12-01-20,,Active
SA_0168,AC_0168,C_0550,Certificate of Deposit,41897.53,12-01-20,,Active
SA_0169,AC_0169,C_1096,Saving Account,997.01,12-01-20,,Active
SA_0170,AC_0170,C_0027,Checking Account,29527.41,12-01-20,,Active
SA_0171,AC_0171,C_1499,Mortgages,61037.28,12-01-20,,Active
SA_0172,AC_0172,C_1387,Debit Card,111956.94,12-01-20,,Active
SA_0173,AC_0173,C_0987,Fixed Deposit,92811.2,13-01-20, ,Closed
SA_0174,AC_0174,C_0996,Hire Purchase,40109.99,13-01-20,18-06-21,Closed
SA_0175,AC_0175,C_0079,Fixed Deposit,36109.27,13-01-20,22-12-21,Closed
SA_0176,AC_0176,C_1392,Checking Account,39692.86,13-01-20, ,Closed
SA_0177,AC_0177,C_0459,Saving Account,20388.38,13-01-20,15-10-21,Closed
SA_0178,AC_0178,C_0605,Checking Account,21417.49,13-01-20, ,Closed
SA_0179,AC_0179,C_0028,Certificate of Deposit,60167.62,13-01-20,,Active
SA_0180,AC_0180,C_0029,Hire Purchase,96018.25,13-01-20,,Active
SA_0181,AC_0181,C_0030,Mortgages,15452.89,13-01-20,,Active
SA_0182,AC_0182,C_0075,Hire Purchase,3961.9,13-01-20,,Active
SA_0183,AC_0183,C_0637,Certificate of Deposit,24020.29,13-01-20,,Active
SA_0184,AC_0184,C_0205,Hire Purchase,34164.05,13-01-20,,Active
SA_0185,AC_0185,C_0628,Checking Account,9567.74,13-01-20,,Active
SA_0186,AC_0186,C_1357,Saving Account,33581.1,13-01-20,,Active
SA_0187,AC_0187,C_0607,Credit Card,35515.35,13-01-20,,Active
SA_0188,AC_0188,C_0031,Checking Account,48486.33,13-01-20,,Active
SA_0189,AC_0189,C_1457,Fixed Deposit,83073.465,13-01-20,,Active
SA_0190,AC_0190,C_0868,Saving Account,126721.35,13-01-20,,Active
SA_0191,AC_0191,C_0861,Saving Account,189572.4,13-01-20,,Active
SA_0192,AC_0192,C_0394,Mortgages,41572.1,14-01-20,15-11-21,Closed
SA_0193,AC_0193,C_0275,Mortgages,38865.85,14-01-20,03-01-21,Closed
SA_0194,AC_0194,C_0843,Certificate of Deposit,138160.11,14-01-20,15-01-21,Closed
SA_0195,AC_0195,C_0031,Mortgages,21924.56,14-01-20,,Active
SA_0196,AC_0196,C_0032,Hire Purchase,3840.53,14-01-20,,Active
SA_0197,AC_0197,C_1108,Credit Card,16658.76,14-01-20,,Active
SA_0198,AC_0198,C_1456,Hire Purchase,11566.5,14-01-20,,Active
SA_0199,AC_0199,C_0242,Saving Account,20821.23,14-01-20,,Active
SA_0200,AC_0200,C_0893,Hire Purchase,25963.125,14-01-20,,Active
SA_0201,AC_0201,C_0563,Mortgages,35504.37,14-01-20,,Active
SA_0202,AC_0202,C_0581,Fixed Deposit,14605.89,15-01-20, ,Closed
SA_0203,AC_0203,C_1214,Credit Card,69027.62,15-01-20,14-01-21,Closed
SA_0204,AC_0204,C_0833,Mortgages,3246.67,15-01-20,24-06-21,Closed
SA_0205,AC_0205,C_0247,Checking Account,8128.57,15-01-20, ,Closed
SA_0206,AC_0206,C_1088,Checking Account,16457.71,15-01-20, ,Closed
SA_0207,AC_0207,C_0225,Certificate of Deposit,9814.58,15-01-20,,Active
SA_0208,AC_0208,C_0942,Hire Purchase,32790.32,15-01-20,18-02-21,Closed
SA_0209,AC_0209,C_1410,Saving Account,17090.17,15-01-20, ,Closed
SA_0210,AC_0210,C_0033,Mortgages,44515.4,15-01-20,,Active
SA_0211,AC_0211,C_0034,Credit Card,19224.76,15-01-20,,Active
SA_0212,AC_0212,C_0035,Checking Account,53247.48,15-01-20,,Active
SA_0213,AC_0213,C_0036,Fixed Deposit,24384.59,15-01-20,,Active
SA_0214,AC_0214,C_1206,Certificate of Deposit,27673.63,15-01-20,,Active
SA_0215,AC_0215,C_0219,Certificate of Deposit,23491.335,15-01-20,,Active
SA_0216,AC_0216,C_0186,Fixed Deposit,25493.985,15-01-20,,Active
SA_0217,AC_0217,C_1290,Debit Card,30775.8,15-01-20,,Active
SA_0218,AC_0218,C_0606,Certificate of Deposit,74812.05,16-01-20,29-04-21,Closed
SA_0219,AC_0219,C_0716,Saving Account,9217.92,16-01-20, ,Closed
SA_0220,AC_0220,C_0549,Hire Purchase,70153.14,16-01-20,,Active
SA_0221,AC_0221,C_0389,Debit Card,11418.92,16-01-20, ,Closed
SA_0222,AC_0222,C_0037,Checking Account,31675.17,16-01-20,,Active
SA_0223,AC_0223,C_0038,Certificate of Deposit,10903.24,16-01-20,,Active
SA_0224,AC_0224,C_0039,Mortgages,34164.05,16-01-20,,Active
SA_0225,AC_0225,C_1095,Mortgages,781.84,16-01-20,,Active
SA_0226,AC_0226,C_1190,Saving Account,11897.17,16-01-20,,Active
SA_0227,AC_0227,C_0839,Hire Purchase,107185.54,16-01-20,,Active
SA_0228,AC_0228,C_0799,Debit Card,56838.19,16-01-20,,Active
SA_0229,AC_0229,C_0359,Saving Account,80189.9,16-01-20,,Active
SA_0230,AC_0230,C_0452,Checking Account,48502.88,16-01-20,,Active
SA_0231,AC_0231,C_1200,Saving Account,1255.995,16-01-20,,Active
SA_0232,AC_0232,C_0996,Certificate of Deposit,20647.08,16-01-20,,Active
SA_0233,AC_0233,C_0692,Saving Account,35357.85,16-01-20,,Active
SA_0234,AC_0234,C_1157,Debit Card,35882.835,16-01-20,,Active
SA_0235,AC_0235,C_1290,Saving Account,90731.835,16-01-20,,Active
SA_0236,AC_0236,C_0412,Credit Card,139182.975,16-01-20,,Active
SA_0237,AC_0237,C_1153,Fixed Deposit,149709.81,16-01-20,,Active
SA_0238,AC_0238,C_0027,Checking Account,18860.64,17-01-20,25-11-21,Closed
SA_0239,AC_0239,C_0604,Checking Account,21890.47,17-01-20, ,Closed
SA_0240,AC_0240,C_0040,Checking Account,47414.52,17-01-20,,Active
SA_0241,AC_0241,C_0041,Saving Account,199970.74,17-01-20,,Active
SA_0242,AC_0242,C_0592,Credit Card,55720.37,17-01-20,,Active
SA_0243,AC_0243,C_1309,Mortgages,192029.19,17-01-20,,Active
SA_0244,AC_0244,C_0108,Fixed Deposit,17823.65,17-01-20,,Active
SA_0245,AC_0245,C_0618,Debit Card,44973.03,17-01-20,,Active
SA_0246,AC_0246,C_0955,Mortgages,43761.285,17-01-20,,Active
SA_0247,AC_0247,C_0189,Debit Card,69126.765,17-01-20,,Active
SA_0248,AC_0248,C_0976,Debit Card,117513.06,17-01-20,,Active
SA_0249,AC_0249,C_1321,Certificate of Deposit,185546.925,17-01-20,,Active
SA_0250,AC_0250,C_0119,Saving Account,14786.28,18-01-20, ,Closed
SA_0251,AC_0251,C_0400,Mortgages,67946.54,18-01-20,06-04-21,Closed
SA_0252,AC_0252,C_1111,Certificate of Deposit,83131.72,18-01-20,,Active
SA_0253,AC_0253,C_0012,Debit Card,35520.18,18-01-20, ,Closed
SA_0254,AC_0254,C_1234,Mortgages,13301.43,18-01-20,,Active
SA_0255,AC_0255,C_0035,Certificate of Deposit,77809.59,18-01-20,18-09-21,Closed
SA_0256,AC_0256,C_1022,Saving Account,58691.17,18-01-20, ,Closed
SA_0257,AC_0257,C_0081,Fixed Deposit,27602.78,18-01-20, ,Closed
SA_0258,AC_0258,C_0042,Certificate of Deposit,42453.12,18-01-20,,Active
SA_0259,AC_0259,C_0043,Checking Account,30265.69,18-01-20,,Active
SA_0260,AC_0260,C_0473,Hire Purchase,75743.08,18-01-20,,Active
SA_0261,AC_0261,C_0261,Credit Card,30972.98,18-01-20,,Active
SA_0262,AC_0262,C_0689,Credit Card,37009.51,18-01-20,,Active
SA_0263,AC_0263,C_0716,Fixed Deposit,25219.7,18-01-20,,Active
SA_0264,AC_0264,C_1437,Credit Card,3766.5,19-01-20,28-07-21,Closed
SA_0265,AC_0265,C_0277,Debit Card,57574.38,19-01-20, ,Closed
SA_0266,AC_0266,C_0065,Debit Card,68694.44,19-01-20,03-12-21,Closed
SA_0267,AC_0267,C_0044,Fixed Deposit,19744.49,19-01-20,,Active
SA_0268,AC_0268,C_0045,Checking Account,92198.05,19-01-20,,Active
SA_0269,AC_0269,C_1233,Credit Card,77908.67,19-01-20,,Active
SA_0270,AC_0270,C_1280,Mortgages,94688.11,19-01-20,,Active
SA_0271,AC_0271,C_0807,Hire Purchase,11880.68,19-01-20,,Active
SA_0272,AC_0272,C_0882,Checking Account,15437.46,19-01-20,,Active
SA_0273,AC_0273,C_0840,Saving Account,66502.77,19-01-20,,Active
SA_0274,AC_0274,C_0233,Mortgages,68539.92,19-01-20,,Active
SA_0275,AC_0275,C_0170,Hire Purchase,296142.96,19-01-20,,Active
SA_0276,AC_0276,C_0414,Credit Card,38866.87,20-01-20, ,Closed
SA_0277,AC_0277,C_0163,Checking Account,25452.8,20-01-20,  ,Closed
SA_0278,AC_0278,C_1346,Hire Purchase,14121.7,20-01-20,13-07-21,Closed
SA_0279,AC_0279,C_1035,Saving Account,48456.97,20-01-20, ,Closed
SA_0280,AC_0280,C_0386,Certificate of Deposit,36923.01,20-01-20,27-08-21,Closed
SA_0281,AC_0281,C_1438,Credit Card,55489.08,20-01-20, ,Closed
SA_0282,AC_0282,C_1308,Checking Account,3287.31,20-01-20, ,Closed
SA_0283,AC_0283,C_0046,Credit Card,9398.45,20-01-20,,Active
SA_0284,AC_0284,C_0047,Saving Account,10704.25,20-01-20,,Active
SA_0285,AC_0285,C_1402,Fixed Deposit,60857.23,20-01-20,,Active
SA_0286,AC_0286,C_0083,Mortgages,20362.27,20-01-20,,Active
SA_0287,AC_0287,C_0105,Checking Account,54081.03,20-01-20,,Active
SA_0288,AC_0288,C_1415,Certificate of Deposit,23305.01,20-01-20,,Active
SA_0289,AC_0289,C_1091,Mortgages,73740.285,20-01-20,,Active
SA_0290,AC_0290,C_1251,Saving Account,43733.51,21-01-20, ,Closed
SA_0291,AC_0291,C_1044,Credit Card,4793.55,21-01-20, ,Closed
SA_0292,AC_0292,C_0719,Checking Account,54692.79,21-01-20, ,Closed
SA_0293,AC_0293,C_0940,Checking Account,163147.99,21-01-20,12-09-21,Closed
SA_0294,AC_0294,C_1491,Fixed Deposit,56430.27,21-01-20, ,Closed
SA_0295,AC_0295,C_0048,Fixed Deposit,17261.5,21-01-20,,Active
SA_0296,AC_0296,C_0049,Credit Card,14557.62,21-01-20,,Active
SA_0297,AC_0297,C_0042,Mortgages,14198.37,21-01-20,,Active
SA_0298,AC_0298,C_1158,Credit Card,34983.495,21-01-20,,Active
SA_0299,AC_0299,C_0449,Checking Account,41273.45,22-01-20, ,Closed
SA_0300,AC_0300,C_0708,Hire Purchase,76517.17,22-01-20,22-09-21,Closed
SA_0301,AC_0301,C_0799,Debit Card,62071.23,22-01-20, ,Closed
SA_0302,AC_0302,C_0012,Credit Card,82104.77,22-01-20, ,Closed
SA_0303,AC_0303,C_0632,Credit Card,15909.96,22-01-20,03-10-21,Closed
SA_0304,AC_0304,C_0050,Mortgages,39171.72,22-01-20,,Active
SA_0305,AC_0305,C_0051,Saving Account,29129.11,22-01-20,,Active
SA_0306,AC_0306,C_0405,Saving Account,92198.05,22-01-20,,Active
SA_0307,AC_0307,C_0701,Credit Card,9178.75,22-01-20,,Active
SA_0308,AC_0308,C_0735,Fixed Deposit,26280.36,22-01-20,,Active
SA_0309,AC_0309,C_0821,Fixed Deposit,57551.21,22-01-20,,Active
SA_0310,AC_0310,C_1116,Credit Card,91237.59,22-01-20,,Active
SA_0311,AC_0311,C_1387,Mortgages,4802.25,22-01-20,,Active
SA_0312,AC_0312,C_1030,Mortgages,121982.73,22-01-20,,Active
SA_0313,AC_0313,C_0213,Debit Card,10704.25,22-01-20,,Active
SA_0314,AC_0314,C_1248,Credit Card,15359.505,22-01-20,,Active
SA_0315,AC_0315,C_0867,Fixed Deposit,106260.105,22-01-20,,Active
SA_0316,AC_0316,C_0055,Debit Card,127391.13,22-01-20,,Active
SA_0317,AC_0317,C_0056,Credit Card,64582.89,23-01-20, ,Closed
SA_0318,AC_0318,C_0997,Certificate of Deposit,97794.71,23-01-20,19-12-21,Closed
SA_0319,AC_0319,C_1197,Credit Card,25710.04,23-01-20, ,Closed
SA_0320,AC_0320,C_0052,Mortgages,92788.65,23-01-20,,Active
SA_0321,AC_0321,C_0053,Saving Account,19933.38,23-01-20,,Active
SA_0322,AC_0322,C_0054,Mortgages,19938.81,23-01-20,,Active
