Complaint_ID,Customer_ID,Complaint_Date,Issue,Priority,Resolution_Time
CP_0001,C_1231,01-01-20,Card activation issues,P_1,1
CP_0002,C_1474,01-01-20,Poor customer service,P_3,42
CP_0003,C_1250,01-01-20,Poor customer service,P_3,31
CP_0004,C_0351,01-01-20,ATM withdrawal issues,P_2,11
CP_0005,C_0909,01-01-20,Failed online transactions,P_2,21
CP_0006,C_0738,02-01-20,Poor customer service,P_3,99
CP_0007,C_0234,02-01-20,Poor customer service,P_3,74
CP_0008,C_1498,02-01-20,Poor customer service,P_3,50
CP_0009,C_0953,02-01-20,Poor customer service,P_3,39
CP_0010,C_0068,02-01-20,Loan application rejections,P_3,120
CP_0011,C_1247,03-01-20,Loan application rejections,P_3,43
CP_0012,C_1104,03-01-20,Poor customer service,P_3,62
CP_0013,C_1111,03-01-20,Loan application rejections,P_3,40
CP_0014,C_0252,03-01-20,Disputed charges,P_2,12
CP_0015,C_0012,03-01-20,Account balance discrepancies,P_3,66
CP_0016,C_1462,03-01-20,Failed online transactions,P_2,24
CP_0017,C_1376,04-01-20,Loan application rejections,P_3,88
CP_0018,C_0152,04-01-20,Poor customer service,P_3,45
CP_0019,C_0331,04-01-20,ATM withdrawal issues,P_2,11
CP_0020,C_0020,04-01-20,ATM withdrawal issues,P_2,24
CP_0021,C_0218,04-01-20,Loan application rejections,P_3,42
CP_0022,C_0862,04-01-20,Card activation issues,P_1,1
CP_0023,C_0049,04-01-20,Delayed or undelivered statements,P_2,10
CP_0024,C_0201,04-01-20,Loan application rejections,P_3,75
CP_0025,C_1486,05-01-20,Account balance discrepancies,P_3,47
CP_0026,C_0382,05-01-20,Disputed charges,P_2,23
CP_0027,C_1173,05-01-20,ATM withdrawal issues,P_2,24
CP_0028,C_0197,05-01-20,Loan application rejections,P_3,38
CP_0029,C_0226,05-01-20,Poor customer service,P_3,97
CP_0030,C_0381,05-01-20,Account balance discrepancies,P_3,62
CP_0031,C_0908,05-01-20,Failed online transactions,P_2,14
CP_0032,C_0804,05-01-20,Loan application rejections,P_3,81
