Feedback_ID,Customer_ID,Response_Date,Source_Type,Customer_Service,Banking_Products,Transaction_Process,Digital_Banking,ATM_services,Complaints_and_Resolution,Financial_Advice,Security_and_Privacy,Account_Management,Fees_and_Pricing,NPS
FD_0001,C_1231,01-01-20,Online,2,2,2,1,3,1,1,1,5,4,10
FD_0002,C_1474,01-01-20,Mail,1,5,4,3,5,3,3,2,1,2,4
FD_0003,C_1250,02-01-20,Telephonic,1,1,1,3,3,1,1,1,5,1,2
FD_0004,C_0351,03-01-20,Telephonic,4,3,4,2,3,4,4,5,1,3,2
FD_0005,C_0909,03-01-20,Telephonic,2,4,4,2,5,5,1,4,2,3,2
FD_0006,C_0738,03-01-20,Online,4,3,2,5,4,3,4,3,1,1,10
FD_0007,C_0234,03-01-20,Online,3,4,3,4,1,4,1,5,1,4,3
FD_0008,C_1498,03-01-20,Online,1,5,2,4,5,4,4,2,2,1,6
FD_0009,C_0953,03-01-20,Online,2,5,4,5,2,5,5,3,5,4,10
FD_0010,C_0068,04-01-20,Mail,1,2,3,5,3,5,4,2,3,1,2
FD_0011,C_1247,04-01-20,Online,5,4,1,4,1,4,4,1,3,3,4
FD_0012,C_1104,05-01-20,Mail,4,1,2,2,2,1,5,1,1,2,9
FD_0013,C_1111,05-01-20,Telephonic,5,4,2,1,4,1,2,5,5,4,7
FD_0014,C_0252,05-01-20,Mail,3,1,2,5,2,2,4,2,5,4,6
FD_0015,C_0012,05-01-20,Online,5,4,4,4,5,5,1,3,2,3,10
FD_0016,C_1462,05-01-20,Online,4,2,2,3,1,4,1,3,5,1,7
FD_0017,C_1376,05-01-20,Online,3,1,4,4,4,2,1,2,3,3,3
FD_0018,C_0152,05-01-20,Mail,5,5,3,1,2,4,5,5,4,2,6
FD_0019,C_0331,05-01-20,Mail,2,5,3,2,3,4,1,1,2,1,10
FD_0020,C_0020,06-01-20,Online,5,4,5,4,3,3,5,4,3,2,7
FD_0021,C_0218,06-01-20,Mail,5,3,2,5,5,2,4,3,5,2,10
FD_0022,C_0862,06-01-20,Mail,5,1,5,5,5,1,2,2,3,2,1
FD_0023,C_0049,06-01-20,Mail,1,2,4,3,3,2,3,5,5,2,1
FD_0024,C_0201,06-01-20,Telephonic,5,1,4,4,1,5,5,1,1,4,6
FD_0025,C_1486,06-01-20,Mail,3,2,3,1,1,4,4,1,2,5,4
FD_0026,C_0382,06-01-20,Online,3,4,5,2,4,2,1,3,3,5,1
FD_0027,C_1173,06-01-20,Online,5,1,4,1,5,4,1,2,1,4,1
FD_0028,C_0197,07-01-20,Mail,2,2,1,1,3,4,1,3,4,4,4
FD_0029,C_0226,07-01-20,Mail,4,3,5,3,4,1,1,5,4,4,5
FD_0030,C_0381,07-01-20,Mail,5,5,4,2,3,5,3,2,3,1,1
