Transaction_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Channel,Charges,Balance
TN_0001,C_1028,01-01-20,Withdrawal,5295.03,Internet Banking,34.25,288015
TN_0002,C_1029,01-01-20,Transfer,7073.47,ATM,20.85,324718.5
TN_0003,C_1030,01-01-20,Deposit,7692.68,Internet Banking,93.19,412020
TN_0004,C_1031,01-01-20,Withdrawal,3132.57,Branch Banking,0.34,317017.5
TN_0005,C_1032,01-01-20,Withdrawal,5318.27,Internet Banking,9.65,305341.5
TN_0006,C_1033,01-01-20,Deposit,9113.14,ATM,64.89,256222.5
TN_0007,C_1034,01-01-20,Deposit,7009.48,Branch Banking,19.74,300847.5
TN_0008,C_1035,01-01-20,Deposit,2252.18,Branch Banking,58.53,134482.5
TN_0009,C_1036,01-01-20,Withdrawal,1765.28,Internet Banking,50.77,351292.5
TN_0010,C_1037,01-01-20,Transfer,4914.42,Mobile Banking,34.97,147699
TN_0011,C_1038,02-01-20,Withdrawal,8073.78,ATM,26,287155.5
TN_0012,C_1039,02-01-20,Transfer,5772.11,ATM,9.8,116688
TN_0013,C_1040,02-01-20,Withdrawal,9736.79,Branch Banking,80.02,201271.5
TN_0014,C_1041,02-01-20,Deposit,6553.75,Internet Banking,34.55,293535
TN_0015,C_1042,02-01-20,Withdrawal,2013.39,Mobile Banking,93.67,142303.5
TN_0016,C_1043,02-01-20,Deposit,7792.17,Internet Banking,41.69,40119
TN_0017,C_1044,02-01-20,Transfer,8252.28,ATM,53.16,38550
TN_0018,C_1045,02-01-20,Deposit,5596.72,Mobile Banking,92.07,121515
TN_0019,C_1046,02-01-20,Transfer,4189.08,ATM,55.94,81390
TN_0020,C_1047,02-01-20,Transfer,3606.5,Mobile Banking,68.7,257992.5
TN_0021,C_1048,02-01-20,Withdrawal,4969.27,Branch Banking,18.72,36849
TN_0022,C_1049,02-01-20,Deposit,5588.66,Mobile Banking,11.06,53782.5
TN_0023,C_1410,03-01-20,Transfer,3837.26,Branch Banking,81.62,183709.5
TN_0024,C_1411,03-01-20,Deposit,6746.68,ATM,16.67,285435
TN_0025,C_1412,03-01-20,Withdrawal,3877.93,Branch Banking,98.39,290062.5
TN_0026,C_1413,03-01-20,Transfer,5584.67,ATM,18.5,222864
TN_0027,C_1414,03-01-20,Deposit,4240.16,Mobile Banking,75.03,109344
TN_0028,C_1415,03-01-20,Transfer,667.24,Branch Banking,62.29,270448.5
TN_0029,C_1416,03-01-20,Withdrawal,6227.21,Branch Banking,77.9,332325
TN_0030,C_1417,03-01-20,Transfer,5928.98,Mobile Banking,47.98,274516.5
TN_0031,C_1418,03-01-20,Withdrawal,7067.1,Branch Banking,88.64,555313.5
TN_0032,C_1419,03-01-20,Transfer,2019.52,Internet Banking,10.74,44766
TN_0033,C_1420,04-01-20,Withdrawal,7865.52,Branch Banking,64.83,451218
TN_0034,C_1421,04-01-20,Deposit,568.31,Branch Banking,78.2,260907
TN_0035,C_1422,04-01-20,Withdrawal,371.01,ATM,34.81,423258
TN_0036,C_1423,04-01-20,Deposit,7754.83,Internet Banking,94.54,130950
TN_0037,C_1424,04-01-20,Withdrawal,6107.28,Mobile Banking,56.78,96780
TN_0038,C_1425,04-01-20,Withdrawal,188.76,Mobile Banking,81.06,179350.5
TN_0039,C_1426,04-01-20,Deposit,3477.88,Branch Banking,5.08,175965
TN_0040,C_1427,04-01-20,Deposit,8043.69,Branch Banking,12.09,43107
TN_0041,C_1428,04-01-20,Withdrawal,4952.8,Branch Banking,60.17,149542.5
TN_0042,C_1429,04-01-20,Withdrawal,6382.65,ATM,49.87,549133.5
TN_0043,C_1430,04-01-20,Transfer,5802.72,Mobile Banking,46.27,35158.5
TN_0044,C_1431,04-01-20,Withdrawal,2755.07,ATM,90.1,199029
TN_0045,C_1432,04-01-20,Withdrawal,2685.29,Internet Banking,94.81,295444.5
TN_0046,C_1446,05-01-20,Withdrawal,7116.34,Internet Banking,79.84,299317.5
TN_0047,C_1463,05-01-20,Deposit,1688.11,ATM,75.75,282964.5
TN_0048,C_1464,05-01-20,Transfer,1895.49,Branch Banking,44.93,102489
TN_0049,C_1465,05-01-20,Withdrawal,5371.96,Mobile Banking,20.33,57427.5
TN_0050,C_1466,05-01-20,Transfer,1208.84,Internet Banking,81.77,317952
TN_0051,C_1467,05-01-20,Withdrawal,3602.56,ATM,65.04,198552
TN_0052,C_1468,05-01-20,Withdrawal,3859.48,ATM,52.47,294184.5
TN_0053,C_1469,05-01-20,Withdrawal,2962.86,Mobile Banking,78.03,267099
TN_0054,C_1470,05-01-20,Deposit,655.6,Mobile Banking,18.03,158904
TN_0055,C_1471,05-01-20,Transfer,5637.86,Internet Banking,93.13,459958.5
TN_0056,C_1472,05-01-20,Deposit,1303.75,ATM,69.35,39753
TN_0057,C_1473,05-01-20,Withdrawal,1077.79,ATM,46.53,307047
TN_0058,C_1474,05-01-20,Withdrawal,1935.85,Internet Banking,51.63,177085.5
TN_0059,C_1475,05-01-20,Withdrawal,4213.85,Branch Banking,23.97,298899
TN_0060,C_0726,06-01-20,Withdrawal,7896.82,Internet Banking,71.17,327832.5
TN_0061,C_1180,06-01-20,Transfer,5734.63,Internet Banking,79.28,117424.5
TN_0062,C_1349,06-01-20,Transfer,738.96,Mobile Banking,74.14,129969
TN_0063,C_1350,06-01-20,Transfer,1721.48,Internet Banking,42.13,163024.5
TN_0064,C_1351,06-01-20,Withdrawal,8403.44,Internet Banking,40.33,105031.5
TN_0065,C_1352,06-01-20,Transfer,6887.77,Mobile Banking,53.74,289408.5
TN_0066,C_1353,06-01-20,Withdrawal,9895.56,Mobile Banking,62.32,216129
TN_0067,C_1354,06-01-20,Transfer,4471.46,Mobile Banking,22.11,146421
