Customer_Skey,Customer_ID,Branch_ID,Employee_ID,Age,Age_Level,Occupation,Income,Income_Level,Record_Created Datetime,Record_Modifed Datetime
SC_0001,C_0001,B_12,E_136,55,Middle Aged,Self-employed,76802,Middle class,02-01-20,
SC_0002,C_0002,B_1,E_020,38,Middle Aged,Self-employed,89814,Middle class,02-01-20,
SC_0003,C_0003,B_10,E_089,62,Senior,Retired,336951,Highest tax brackets,02-01-20,
SC_0004,C_0004,B_11,E_084,13,Youth,Student,16032,Below or near poverty level,02-01-20,
SC_0005,C_0005,B_9,E_148,29,Adult,Employed,103497,Middle class,02-01-20,
SC_0006,C_0006,B_11,E_120,28,Adult,Employed,198693,High income,03-01-20,
SC_0007,C_0007,B_11,E_040,27,Adult,Employed,227026,Highest tax brackets,03-01-20,
SC_0008,C_0008,B_10,E_109,24,Adult,Student,104626,Middle class,04-01-20,
SC_0009,C_0009,B_1,E_006,85,Senior,Retired,369667,Highest tax brackets,05-01-20,
SC_0010,C_0010,B_3,E_134,43,Middle Aged,Unemployed,104996,Middle class,05-01-20,
SC_0011,C_0011,B_12,E_131,25,Adult,Student,18445,Below or near poverty level,05-01-20,
SC_0012,C_0012,B_10,E_125,26,Adult,Unemployed,212465,Highest tax brackets,06-01-20,
SC_0013,C_0013,B_1,E_133,33,Middle Aged,Unemployed,82091,Middle class,06-01-20,
SC_0014,C_0014,B_15,E_091,24,Adult,Unemployed,99831,Middle class,06-01-20,
SC_0015,C_0015,B_1,E_042,47,Middle Aged,Self-employed,24724,Low income,07-01-20,
SC_0016,C_0016,B_6,E_137,20,Adult,Unemployed,346189,Highest tax brackets,07-01-20,
SC_0017,C_0017,B_3,E_027,8,Youth,Student,56554,Middle class,07-01-20,
SC_0018,C_0018,B_8,E_135,14,Youth,Student,128354,Middle class,07-01-20,
SC_0019,C_0019,B_5,E_121,32,Middle Aged,Employed,60548,Middle class,08-01-20,
SC_0020,C_0020,B_1,E_060,59,Middle Aged,Self-employed,85019,Middle class,08-01-20,
SC_0021,C_0021,B_6,E_076,30,Middle Aged,Self-employed,107914,Middle class,08-01-20,
SC_0022,C_0022,B_13,E_149,15,Youth,Student,23858,Low income,09-01-20,
SC_0023,C_0023,B_14,E_052,39,Middle Aged,Employed,132015,Middle class,09-01-20,
SC_0024,C_0024,B_3,E_074,55,Middle Aged,Retired,220931,Highest tax brackets,10-01-20,
SC_0025,C_0025,B_3,E_074,55,Middle Aged,Employed,25947,Low income,10-01-20,
SC_0026,C_0026,B_3,E_096,35,Middle Aged,Self-employed,432824,Highest tax brackets,11-01-20,
SC_0027,C_0027,B_7,E_015,44,Middle Aged,Self-employed,236427,Highest tax brackets,12-01-20,
SC_0028,C_0028,B_1,E_147,37,Middle Aged,Unemployed,134446,Middle class,12-01-20,
SC_0029,C_0029,B_7,E_130,61,Senior,Self-employed,99516,Middle class,13-01-20,
SC_0030,C_0030,B_4,E_039,56,Middle Aged,Self-employed,109282,Middle class,13-01-20,
SC_0031,C_0031,B_3,E_034,19,Adult,Employed,106444,Middle class,13-01-20,
SC_0032,C_0032,B_1,E_147,56,Middle Aged,Unemployed,186651,High income,14-01-20,
SC_0033,C_0033,B_3,E_028,41,Middle Aged,Retired,188274,High income,14-01-20,
SC_0034,C_0034,B_1,E_122,27,Adult,Unemployed,258120,Highest tax brackets,15-01-20,
SC_0035,C_0035,B_7,E_050,20,Adult,Unemployed,43311,Low income,15-01-20,
SC_0036,C_0036,B_5,E_121,14,Youth,Student,191846,High income,15-01-20,
